LATITUDE,LONGITUDE,SITE_CLASS
-33.18123683,151.626886,B
-33.17623683,151.621886,B
-33.18123683,151.621886,B
-33.18623683,151.621886,D
-33.19123683,151.621886,B
-33.19623683,151.621886,B
-33.17623683,151.616886,B
-33.18123683,151.616886,B
-33.18623683,151.616886,B
-33.19123683,151.616886,B
-33.19623683,151.616886,B
-33.17623683,151.611886,B
-33.18123683,151.611886,B
-33.18623683,151.611886,B
-33.19123683,151.611886,B
-33.19623683,151.611886,D
-33.20123683,151.611886,D
-33.17623683,151.606886,B
-33.18123683,151.606886,B
-33.18623683,151.606886,B
-33.19123683,151.606886,B
-33.19623683,151.606886,B
-33.20123683,151.606886,D
-33.17623683,151.601886,B
-33.18123683,151.601886,B
-33.18623683,151.601886,B
-33.19123683,151.601886,B
-33.19623683,151.601886,B
-33.20123683,151.601886,D
-33.20623683,151.601886,D
-33.16623683,151.596886,B
-33.17123683,151.596886,B
-33.17623683,151.596886,B
-33.18123683,151.596886,B
-33.18623683,151.596886,B
-33.19123683,151.596886,B
-33.19623683,151.596886,B
-33.20123683,151.596886,D
-33.20623683,151.596886,D
-33.21123683,151.596886,D
-33.15623683,151.591886,B
-33.16123683,151.591886,B
-33.16623683,151.591886,B
-33.17123683,151.591886,B
-33.17623683,151.591886,B
-33.18123683,151.591886,B
-33.18623683,151.591886,B
-33.19123683,151.591886,D
-33.19623683,151.591886,B
-33.20123683,151.591886,D
-33.20623683,151.591886,D
-33.21123683,151.591886,D
-33.21623683,151.591886,D
-33.11623683,151.586886,B
-33.12123683,151.586886,B
-33.13123683,151.586886,D
-33.13623683,151.586886,D
-33.14123683,151.586886,B
-33.14623683,151.586886,B
-33.15123683,151.586886,B
-33.15623683,151.586886,B
-33.16123683,151.586886,B
-33.16623683,151.586886,B
-33.17123683,151.586886,B
-33.17623683,151.586886,B
-33.18123683,151.586886,B
-33.18623683,151.586886,D
-33.19123683,151.586886,B
-33.19623683,151.586886,B
-33.20123683,151.586886,B
-33.21123683,151.586886,D
-33.21623683,151.586886,D
-33.22123683,151.586886,D
-33.13123683,151.581886,B
-33.13623683,151.581886,B
-33.14123683,151.581886,B
-33.14623683,151.581886,B
-33.15123683,151.581886,B
-33.15623683,151.581886,B
-33.16123683,151.581886,D
-33.16623683,151.581886,B
-33.17123683,151.581886,B
-33.17623683,151.581886,D
-33.18123683,151.581886,B
-33.18623683,151.581886,B
-33.19123683,151.581886,B
-33.19623683,151.581886,B
-33.20123683,151.581886,D
-33.21623683,151.581886,D
-33.22123683,151.581886,D
-33.22623683,151.581886,D
-33.13623683,151.576886,D
-33.14123683,151.576886,D
-33.14623683,151.576886,B
-33.15123683,151.576886,B
-33.15623683,151.576886,D
-33.16123683,151.576886,B
-33.16623683,151.576886,B
-33.17123683,151.576886,B
-33.17623683,151.576886,B
-33.18123683,151.576886,D
-33.18623683,151.576886,B
-33.19123683,151.576886,B
-33.22623683,151.576886,D
-33.13623683,151.571886,B
-33.14123683,151.571886,B
-33.14623683,151.571886,B
-33.15123683,151.571886,B
-33.16623683,151.571886,D
-33.17123683,151.571886,B
-33.17623683,151.571886,D
-33.18123683,151.571886,B
-33.18623683,151.571886,B
-33.19123683,151.571886,B
-33.23123683,151.571886,D
-33.23623683,151.571886,D
-33.14123683,151.566886,B
-33.14623683,151.566886,B
-33.17623683,151.566886,B
-33.18123683,151.566886,B
-33.18623683,151.566886,B
-33.19123683,151.566886,B
-33.23623683,151.566886,D
-33.24123683,151.566886,D
-33.27623683,151.566886,B
-33.28123683,151.566886,B
-33.28623683,151.566886,B
-33.14123683,151.561886,B
-33.14623683,151.561886,B
-33.17623683,151.561886,B
-33.18123683,151.561886,B
-33.18623683,151.561886,B
-33.19123683,151.561886,B
-33.23623683,151.561886,D
-33.25123683,151.561886,D
-33.25623683,151.561886,D
-33.26123683,151.561886,D
-33.26623683,151.561886,D
-33.27123683,151.561886,B
-33.27623683,151.561886,B
-33.28123683,151.561886,B
-33.28623683,151.561886,B
-33.29123683,151.561886,D
-33.17123683,151.556886,D
-33.17623683,151.556886,B
-33.18123683,151.556886,B
-33.18623683,151.556886,B
-33.19123683,151.556886,B
-33.19623683,151.556886,D
-33.20623683,151.556886,B
-33.21123683,151.556886,B
-33.21623683,151.556886,B
-33.23123683,151.556886,D
-33.23623683,151.556886,D
-33.25623683,151.556886,D
-33.26123683,151.556886,D
-33.26623683,151.556886,B
-33.27123683,151.556886,B
-33.27623683,151.556886,B
-33.28123683,151.556886,B
-33.28623683,151.556886,D
-33.29123683,151.556886,D
-33.16623683,151.551886,D
-33.17123683,151.551886,B
-33.17623683,151.551886,B
-33.18123683,151.551886,B
-33.18623683,151.551886,B
-33.19123683,151.551886,D
-33.20123683,151.551886,B
-33.20623683,151.551886,B
-33.21123683,151.551886,B
-33.21623683,151.551886,B
-33.22123683,151.551886,B
-33.22623683,151.551886,B
-33.23123683,151.551886,B
-33.25123683,151.551886,D
-33.25623683,151.551886,D
-33.26123683,151.551886,D
-33.26623683,151.551886,B
-33.27123683,151.551886,B
-33.27623683,151.551886,B
-33.28123683,151.551886,B
-33.28623683,151.551886,D
-33.29123683,151.551886,D
-33.29623683,151.551886,D
-33.16123683,151.546886,B
-33.16623683,151.546886,B
-33.17123683,151.546886,B
-33.17623683,151.546886,B
-33.18123683,151.546886,B
-33.18623683,151.546886,B
-33.19123683,151.546886,D
-33.20123683,151.546886,D
-33.20623683,151.546886,D
-33.21123683,151.546886,D
-33.21623683,151.546886,B
-33.22123683,151.546886,B
-33.22623683,151.546886,B
-33.23123683,151.546886,B
-33.25623683,151.546886,D
-33.26123683,151.546886,D
-33.26623683,151.546886,D
-33.27123683,151.546886,D
-33.28123683,151.546886,D
-33.28623683,151.546886,D
-33.29123683,151.546886,D
-33.29623683,151.546886,D
-33.15123683,151.541886,B
-33.15623683,151.541886,D
-33.16123683,151.541886,D
-33.16623683,151.541886,B
-33.17123683,151.541886,B
-33.17623683,151.541886,B
-33.18123683,151.541886,B
-33.18623683,151.541886,D
-33.19123683,151.541886,D
-33.20623683,151.541886,D
-33.21123683,151.541886,D
-33.21623683,151.541886,B
-33.22123683,151.541886,B
-33.22623683,151.541886,B
-33.23123683,151.541886,B
-33.26123683,151.541886,D
-33.26623683,151.541886,D
-33.28623683,151.541886,D
-33.29123683,151.541886,D
-33.29623683,151.541886,D
-33.30123683,151.541886,D
-33.15623683,151.536886,B
-33.16123683,151.536886,B
-33.16623683,151.536886,B
-33.17123683,151.536886,B
-33.17623683,151.536886,B
-33.18123683,151.536886,B
-33.18623683,151.536886,D
-33.19123683,151.536886,D
-33.19623683,151.536886,D
-33.20123683,151.536886,D
-33.20623683,151.536886,D
-33.21123683,151.536886,D
-33.21623683,151.536886,D
-33.22123683,151.536886,B
-33.22623683,151.536886,B
-33.23123683,151.536886,B
-33.23623683,151.536886,B
-33.29123683,151.536886,D
-33.29623683,151.536886,D
-33.30123683,151.536886,D
-33.16123683,151.531886,D
-33.16623683,151.531886,D
-33.17623683,151.531886,B
-33.18123683,151.531886,D
-33.18623683,151.531886,B
-33.19123683,151.531886,B
-33.19623683,151.531886,D
-33.20123683,151.531886,B
-33.20623683,151.531886,D
-33.21123683,151.531886,D
-33.21623683,151.531886,B
-33.22123683,151.531886,B
-33.22623683,151.531886,B
-33.23123683,151.531886,B
-33.29623683,151.531886,D
-33.30123683,151.531886,D
-33.30623683,151.531886,D
-33.18123683,151.526886,D
-33.19123683,151.526886,B
-33.19623683,151.526886,B
-33.20123683,151.526886,B
-33.20623683,151.526886,B
-33.21123683,151.526886,B
-33.21623683,151.526886,B
-33.29623683,151.526886,D
-33.30123683,151.526886,D
-33.30623683,151.526886,D
-33.31123683,151.526886,D
-33.18623683,151.521886,D
-33.19123683,151.521886,B
-33.19623683,151.521886,B
-33.20123683,151.521886,B
